user_id,judge_status,url
BARISU,AC,https://atcoder.jp/contests/abc152/submissions/9627516
BARISU,TLE,https://atcoder.jp/contests/abc152/submissions/9624247
DivineJK,AC,https://atcoder.jp/contests/abc152/submissions/9628519
DivineJK,TLE,https://atcoder.jp/contests/abc152/submissions/9621109
GS_Code,AC,https://atcoder.jp/contests/abc152/submissions/9623671
GS_Code,TLE,https://atcoder.jp/contests/abc152/submissions/9617262
Gac,AC,https://atcoder.jp/contests/abc152/submissions/9615837
Gac,TLE,https://atcoder.jp/contests/abc152/submissions/9613944
Germanpoteto,AC,https://atcoder.jp/contests/abc152/submissions/9628304
Germanpoteto,TLE,https://atcoder.jp/contests/abc152/submissions/9627101
HBit,AC,https://atcoder.jp/contests/abc152/submissions/9617687
HBit,TLE,https://atcoder.jp/contests/abc152/submissions/9615187
Personify20,AC,https://atcoder.jp/contests/abc152/submissions/9624940
Personify20,TLE,https://atcoder.jp/contests/abc152/submissions/9622455
Personify20,TLE,https://atcoder.jp/contests/abc152/submissions/9622164
REDjp,AC,https://atcoder.jp/contests/abc152/submissions/9621971
REDjp,TLE,https://atcoder.jp/contests/abc152/submissions/9620946
REDjp,TLE,https://atcoder.jp/contests/abc152/submissions/9620417
REDjp,TLE,https://atcoder.jp/contests/abc152/submissions/9622263
TAKKEN,AC,https://atcoder.jp/contests/abc152/submissions/9626152
TAKKEN,TLE,https://atcoder.jp/contests/abc152/submissions/9625121
T_Wakasugi,AC,https://atcoder.jp/contests/abc152/submissions/9625825
T_Wakasugi,TLE,https://atcoder.jp/contests/abc152/submissions/9621945
T_Wakasugi,TLE,https://atcoder.jp/contests/abc152/submissions/9625529
T_Wakasugi,TLE,https://atcoder.jp/contests/abc152/submissions/9619517
T_Wakasugi,TLE,https://atcoder.jp/contests/abc152/submissions/9620606
Tsukumo,AC,https://atcoder.jp/contests/abc152/submissions/9623674
Tsukumo,TLE,https://atcoder.jp/contests/abc152/submissions/9622285
Tsukumo,TLE,https://atcoder.jp/contests/abc152/submissions/9622516
YIN,AC,https://atcoder.jp/contests/abc152/submissions/9623532
YIN,TLE,https://atcoder.jp/contests/abc152/submissions/9622739
Yatabe,AC,https://atcoder.jp/contests/abc152/submissions/9628813
Yatabe,TLE,https://atcoder.jp/contests/abc152/submissions/9626494
Yutooo,AC,https://atcoder.jp/contests/abc152/submissions/9628891
Yutooo,TLE,https://atcoder.jp/contests/abc152/submissions/9628478
Yutooo,TLE,https://atcoder.jp/contests/abc152/submissions/9625839
akinasu,AC,https://atcoder.jp/contests/abc152/submissions/9624909
akinasu,TLE,https://atcoder.jp/contests/abc152/submissions/9622931
aman_garg001,AC,https://atcoder.jp/contests/abc152/submissions/9624397
aman_garg001,TLE,https://atcoder.jp/contests/abc152/submissions/9624238
bluexleoxgreen,AC,https://atcoder.jp/contests/abc152/submissions/9626755
bluexleoxgreen,TLE,https://atcoder.jp/contests/abc152/submissions/9625434
bluexleoxgreen,TLE,https://atcoder.jp/contests/abc152/submissions/9611056
cis_yuta,AC,https://atcoder.jp/contests/abc152/submissions/9627420
cis_yuta,TLE,https://atcoder.jp/contests/abc152/submissions/9622990
cohock,AC,https://atcoder.jp/contests/abc152/submissions/9615934
cohock,TLE,https://atcoder.jp/contests/abc152/submissions/9613207
